action,close,open,high,low,volume,price,time,macd_line,macd_signal,macd_histogram,rsi_14,vwap
hold,127.91500091552734,127.8499984741211,128.8300018310547,127.55000305175781,265885,127.91500091552734,2026-04-07 13:30:00+00:00,0.0,0.0,0.0,50.0,127.91500091552734
hold,128.17999267578125,128.0,128.4499969482422,127.7750015258789,11635,128.17999267578125,2026-04-07 13:31:00+00:00,0.0,0.0,0.0,50.0,127.92611067024973
hold,129.52000427246094,128.5,129.6999969482422,128.5,28649,129.52000427246094,2026-04-07 13:32:00+00:00,0.0,0.0,0.0,50.0,128.07525528583702
hold,129.72000122070312,129.6199951171875,129.8699951171875,129.39999389648438,28009,129.72000122070312,2026-04-07 13:33:00+00:00,0.0,0.0,0.0,50.0,128.2131090311155
hold,129.63499450683594,129.8699951171875,129.8699951171875,129.35000610351562,40425,129.63499450683594,2026-04-07 13:34:00+00:00,0.0,0.0,0.0,50.0,128.366550729009
hold,129.06500244140625,129.57000732421875,129.83999633789062,128.86000061035156,29639,129.06500244140625,2026-04-07 13:35:00+00:00,0.0,0.0,0.0,50.0,128.41776116806219
hold,129.89999389648438,129.32000732421875,130.1999969482422,129.13999938964844,49107,129.89999389648438,2026-04-07 13:36:00+00:00,0.0,0.0,0.0,50.0,128.57831738985738
hold,130.1999969482422,129.89999389648438,130.30999755859375,129.89999389648438,19688,130.1999969482422,2026-04-07 13:37:00+00:00,0.0,0.0,0.0,50.0,128.645812378929
hold,130.11000061035156,130.13999938964844,130.35000610351562,129.9149932861328,12811,130.11000061035156,2026-04-07 13:38:00+00:00,0.0,0.0,0.0,50.0,128.68442057621039
hold,129.7100067138672,130.09249877929688,130.10000610351562,129.52999877929688,10927,129.7100067138672,2026-04-07 13:39:00+00:00,0.0,0.0,0.0,50.0,128.70697923903796
hold,129.55499267578125,129.68902587890625,129.875,129.4499969482422,9108,129.55499267578125,2026-04-07 13:40:00+00:00,0.0,0.0,0.0,50.0,128.7222470111945
hold,129.32000732421875,129.55499267578125,129.55499267578125,128.94000244140625,12661,129.32000732421875,2026-04-07 13:41:00+00:00,0.0,0.0,0.0,50.0,128.7368421917832
hold,129.77499389648438,129.50999450683594,129.8699951171875,129.50999450683594,4148,129.77499389648438,2026-04-07 13:42:00+00:00,0.0,0.0,0.0,50.0,128.745080797446
hold,129.95750427246094,129.8300018310547,130.14999389648438,129.8000030517578,24928,129.95750427246094,2026-04-07 13:43:00+00:00,0.0,0.0,0.0,50.0,128.80027106147065
hold,129.50999450683594,129.66000366210938,129.86000061035156,129.49000549316406,8017,129.50999450683594,2026-04-07 13:44:00+00:00,0.0,0.0,0.0,64.34349352803875,128.81051129540305
hold,129.25,129.50999450683594,129.85000610351562,128.91000366210938,52089,129.25,2026-04-07 13:45:00+00:00,0.0,0.0,0.0,61.25858824260054,128.84818045409256
hold,129.18499755859375,129.23500061035156,129.4550018310547,129.13999938964844,9166,129.18499755859375,2026-04-07 13:46:00+00:00,0.0,0.0,0.0,60.47788856964042,128.8531850020197
hold,128.47000122070312,129.0500030517578,129.1300048828125,128.4499969482422,14203,128.47000122070312,2026-04-07 13:47:00+00:00,0.0,0.0,0.0,52.545382649670856,128.8445613253212
hold,128.9199981689453,128.4600067138672,128.9199981689453,128.35000610351562,10187,128.9199981689453,2026-04-07 13:48:00+00:00,0.0,0.0,0.0,56.419693797824806,128.84575966727684
hold,129.0749969482422,128.85499572753906,129.15499877929688,128.76010131835938,28017,129.0749969482422,2026-04-07 13:49:00+00:00,0.0,0.0,0.0,57.70070389669463,128.8553555891306
hold,129.18499755859375,129.1699981689453,129.25999450683594,128.8800048828125,34581,129.18499755859375,2026-04-07 13:50:00+00:00,0.0,0.0,0.0,58.63009455912659,128.87155060667052
hold,129.27999877929688,129.2100067138672,129.5,128.96629333496094,11019,129.27999877929688,2026-04-07 13:51:00+00:00,0.0,0.0,0.0,59.45857628709531,128.8778461678815
hold,129.6300048828125,129.5,129.6549072265625,129.33999633789062,7963,129.6300048828125,2026-04-07 13:52:00+00:00,0.0,0.0,0.0,62.442744948219236,128.88613189855624
hold,129.8300018310547,129.50999450683594,129.89999389648438,129.50999450683594,11529,129.8300018310547,2026-04-07 13:53:00+00:00,0.0,0.0,0.0,64.07020932333867,128.9009494500401
hold,129.94000244140625,129.85000610351562,130.13999938964844,129.85000610351562,32594,129.94000244140625,2026-04-07 13:54:00+00:00,0.0,0.0,0.0,64.96933911442112,128.9451053242757
buy,129.9550018310547,129.9250030517578,130.14999389648438,129.8000030517578,13959,129.9550018310547,2026-04-07 13:55:00+00:00,0.11606118538719556,0.0,0.11606118538719556,65.09759762641748,128.96315674068728
hold,129.60499572753906,129.91000366210938,129.9199981689453,129.55999755859375,17299,129.60499572753906,2026-04-07 13:56:00+00:00,0.11335433886262081,0.0,0.11335433886262081,59.612759598852776,128.97706625525058
hold,129.4499969482422,129.7100067138672,129.7100067138672,129.24000549316406,13331,129.4499969482422,2026-04-07 13:57:00+00:00,0.09757722783695044,0.0,0.09757722783695044,57.30990826393698,128.9848346646233
hold,129.39500427246094,129.5,129.5500030517578,129.25999450683594,18166,129.39500427246094,2026-04-07 13:58:00+00:00,0.07971737209538787,0.0,0.07971737209538787,56.476314833634106,128.9938147560929
hold,129.24749755859375,129.4550018310547,129.57000732421875,129.14378356933594,12701,129.24749755859375,2026-04-07 13:59:00+00:00,0.053049230199093245,0.0,0.053049230199093245,54.199078561218094,128.9976393862742
hold,128.89500427246094,129.19500732421875,129.4199981689453,128.89500427246094,15080,128.89500427246094,2026-04-07 14:00:00+00:00,0.0034317146606781535,0.0,0.0034317146606781535,49.10366546063206,128.99583448876578
sell,128.88999938964844,129.0,129.25999450683594,128.8699951171875,6425,128.88999938964844,2026-04-07 14:01:00+00:00,-0.035880764970272594,0.0,-0.035880764970272594,49.033179066364546,128.99504741351822
hold,128.85499572753906,128.8000946044922,128.89999389648438,128.75,9036,128.85499572753906,2026-04-07 14:02:00+00:00,-0.06906455806912959,0.0,-0.06906455806912959,48.50871539647733,128.99359777648732
hold,129.2050018310547,128.94000244140625,129.3699951171875,128.94000244140625,6960,129.2050018310547,2026-04-07 14:03:00+00:00,-0.06635548106476108,0.03243225165975142,-0.0987877327245125,53.82687585577258,128.99526990058163
hold,129.19000244140625,129.22500610351562,129.22500610351562,129.0500030517578,7054,129.19000244140625,2026-04-07 14:04:00+00:00,-0.0646733295254478,0.013011135422711578,-0.07768446494815938,53.571520871802555,128.99681854718543
hold,128.9949951171875,129.0500030517578,129.17990112304688,128.9949951171875,7003,128.9949951171875,2026-04-07 14:05:00+00:00,-0.07817452635367772,-0.005225996932566283,-0.07294852942111144,50.234857752029185,128.99680426363446
hold,128.14999389648438,128.94000244140625,129.0050048828125,128.14999389648438,24640,128.14999389648438,2026-04-07 14:06:00+00:00,-0.1552690141087396,-0.035234600367800954,-0.12003441374093865,38.922155332620136,128.97409087192503
hold,128.00360107421875,128.2899932861328,128.40989685058594,128.00360107421875,13619,128.00360107421875,2026-04-07 14:07:00+00:00,-0.22557929074591243,-0.07330353844342324,-0.1522757523024892,37.35276465537647,128.95991335823786
hold,128.0574951171875,128.297607421875,128.297607421875,127.87000274658203,14923,128.0574951171875,2026-04-07 14:08:00+00:00,-0.27379574575763854,-0.11340197990626631,-0.16039376585137222,38.33848571891522,128.9456956032246
hold,128.39999389648438,128.1300048828125,128.47999572753906,128.0399932861328,16199,128.39999389648438,2026-04-07 14:09:00+00:00,-0.28113015124165486,-0.14694761417334404,-0.13418253706831082,44.33298618934218,128.9365197619704
hold,128.60000610351562,128.40499877929688,128.61990356445312,128.33999633789062,8589,128.60000610351562,2026-04-07 14:10:00+00:00,-0.267717328182556,-0.17110155697518642,-0.09661577120736958,47.54033701518181,128.93354609119237
hold,128.8699951171875,128.5800018310547,128.8699951171875,128.5800018310547,15329,128.8699951171875,2026-04-07 14:11:00+00:00,-0.23262021126862464,-0.18340528783387405,-0.04921492343475059,51.594640590838765,128.93255938517197
buy,129.1898956298828,128.89999389648438,129.19000244140625,128.7949981689453,8887,129.1898956298828,2026-04-07 14:12:00+00:00,-0.17695239830030118,-0.18211470992715947,0.00516231162685829,55.939663813112375,128.93485509049452
hold,129.17999267578125,129.0749969482422,129.2899932861328,129.0749969482422,8347,129.17999267578125,2026-04-07 14:13:00+00:00,-0.1321114426175427,-0.17211405646523614,0.040002613847693436,55.77276419780034,128.93689202254285
hold,129.22320556640625,129.17999267578125,129.3699951171875,129.13999938964844,6928,129.22320556640625,2026-04-07 14:14:00+00:00,-0.09202691406846952,-0.15609662798588284,0.06406971391741331,56.38428566721853,128.93885312850048
hold,129.6699981689453,129.2949981689453,129.6699981689453,129.2949981689453,17551,129.6699981689453,2026-04-07 14:15:00+00:00,-0.02393134176543299,-0.12966357074179286,0.10573222897635987,62.20334305100431,128.9513236721631
hold,129.64500427246094,129.6511993408203,129.74000549316406,129.60000610351562,5882,129.64500427246094,2026-04-07 14:16:00+00:00,0.02769879683523868,-0.09819109722638655,0.12588989406162523,61.70736854541369,128.95526633028425
hold,129.5500030517578,129.61000061035156,129.7053985595703,129.4199981689453,5232,129.5500030517578,2026-04-07 14:17:00+00:00,0.06025565936559474,-0.06650174590799031,0.12675740527358503,59.757010300244076,128.9582579539129
hold,129.77000427246094,129.52000427246094,129.77000427246094,129.52000427246094,4270,129.77000427246094,2026-04-07 14:18:00+00:00,0.10262645349115473,-0.0326761060281613,0.13530255951931602,62.69735081500853,128.96157677177416
hold,129.6699981689453,129.7698974609375,129.7698974609375,129.38999938964844,12653,129.6699981689453,2026-04-07 14:19:00+00:00,0.12667571751430273,-0.0008057413196684952,0.12748145883397122,60.53223949110381,128.97005666666863
