action,close,open,high,low,volume,price,time,macd_line,macd_signal,macd_histogram,rsi_14,vwap
hold,153.9499969482422,154.82000732421875,155.22500610351562,153.9499969482422,204997,153.9499969482422,2026-04-15 13:30:00+00:00,0.0,0.0,0.0,50.0,153.9499969482422
hold,153.92999267578125,153.89999389648438,153.93499755859375,153.50010681152344,17551,153.92999267578125,2026-04-15 13:31:00+00:00,0.0,0.0,0.0,50.0,153.94841933358845
hold,154.5,153.92999267578125,154.67999267578125,153.60000610351562,41157,154.5,2026-04-15 13:32:00+00:00,0.0,0.0,0.0,50.0,154.03450570088333
hold,154.4499969482422,154.5,154.77999877929688,154.4499969482422,7777,154.4499969482422,2026-04-15 13:33:00+00:00,0.0,0.0,0.0,50.0,154.04640805695377
hold,154.3000030517578,154.49000549316406,154.7299041748047,154.00999450683594,13628,154.3000030517578,2026-04-15 13:34:00+00:00,0.0,0.0,0.0,50.0,154.05852966822377
hold,154.86000061035156,154.52000427246094,154.92999267578125,154.30999755859375,11815,154.86000061035156,2026-04-15 13:35:00+00:00,0.0,0.0,0.0,50.0,154.09042115321571
hold,154.5800018310547,154.60000610351562,155.0,154.5749969482422,10125,154.5800018310547,2026-04-15 13:36:00+00:00,0.0,0.0,0.0,50.0,154.1065651179222
hold,154.38999938964844,154.5,154.6699981689453,154.3000030517578,16199,154.38999938964844,2026-04-15 13:37:00+00:00,0.0,0.0,0.0,50.0,154.12076887962817
hold,154.3300018310547,154.3000030517578,154.52999877929688,154.0,14208,154.3300018310547,2026-04-15 13:38:00+00:00,0.0,0.0,0.0,50.0,154.1295782442994
hold,154.33999633789062,153.92999267578125,154.69000244140625,153.92999267578125,21722,154.33999633789062,2026-04-15 13:39:00+00:00,0.0,0.0,0.0,50.0,154.14230365928466
hold,153.92999267578125,154.3300018310547,154.3300018310547,153.86000061035156,11579,153.92999267578125,2026-04-15 13:40:00+00:00,0.0,0.0,0.0,50.0,154.13567305690256
hold,153.90499877929688,153.9199981689453,154.1199951171875,153.75,20425,153.90499877929688,2026-04-15 13:41:00+00:00,0.0,0.0,0.0,50.0,154.12362876530477
hold,152.85000610351562,153.77999877929688,153.77999877929688,152.83999633789062,29977,152.85000610351562,2026-04-15 13:42:00+00:00,0.0,0.0,0.0,50.0,154.03297583878646
hold,152.64500427246094,152.95010375976562,153.08999633789062,152.44000244140625,18850,152.64500427246094,2026-04-15 13:43:00+00:00,0.0,0.0,0.0,50.0,153.97351522647028
hold,153.38499450683594,152.63999938964844,153.8000030517578,152.5500030517578,26347,153.38499450683594,2026-04-15 13:44:00+00:00,0.0,0.0,0.0,43.468152214562416,153.94026654488042
hold,153.2449951171875,153.39500427246094,153.39500427246094,152.88999938964844,6063,153.2449951171875,2026-04-15 13:45:00+00:00,0.0,0.0,0.0,42.00389909147078,153.93134348771497
hold,153.1343994140625,153.38999938964844,153.47000122070312,152.75,7154,153.1343994140625,2026-04-15 13:46:00+00:00,0.0,0.0,0.0,40.833698029947975,153.9194551495171
hold,152.83999633789062,153.04554748535156,153.27000427246094,152.75,8138,152.83999633789062,2026-04-15 13:47:00+00:00,0.0,0.0,0.0,37.81368603367215,153.90144321663658
