action_quality,macd_line,vwap,sma,macd_histogram,macd_signal,rsi_14,price
good,0.0,147.7100067138672,0.0,0.0,0.0,50.0,147.7100067138672
good,0.0,147.70745455666793,0.0,0.0,0.0,50.0,147.68499755859375
neutral,0.0,147.7092274705112,0.0,0.0,0.0,50.0,147.77499389648438
neutral,0.0,147.7457681282926,0.0,0.0,0.0,50.0,148.46949768066406
neutral,0.0,147.75845721334406,147.90989990234374,0.0,0.0,50.0,147.91000366210938
neutral,0.0,147.77260436919454,147.9678985595703,0.0,0.0,50.0,148.0
good,0.0,147.78257505328344,148.0718994140625,0.0,0.0,50.0,148.2050018310547
neutral,0.0,147.8026341741341,148.2209014892578,0.0,0.0,50.0,148.52000427246094
good,0.0,147.78170093553638,148.03700256347656,0.0,0.0,50.0,147.5500030517578
good,0.0,147.72419026947546,147.81100158691407,0.0,0.0,50.0,146.77999877929688
good,0.0,147.67157034665968,147.5250030517578,0.0,0.0,50.0,146.57000732421875
good,0.0,147.66668863584445,147.38250122070312,0.0,0.0,50.0,147.49249267578125
good,0.0,147.6390005798966,147.12050170898436,0.0,0.0,50.0,147.2100067138672
good,0.0,147.62446677754525,147.02650146484376,0.0,0.0,50.0,147.0800018310547
good,0.0,147.59653073955442,147.014501953125,0.0,0.0,41.19835147989679,146.72000122070312
good,0.0,147.57654201975657,147.0864990234375,0.0,0.0,43.471411285088216,146.92999267578125
good,0.0,147.53466722503092,146.95,0.0,0.0,42.46131804142512,146.80999755859375
good,0.0,147.52754589873467,146.9720001220703,0.0,0.0,47.9925617012773,147.32000732421875
good,0.0,147.5276105079579,147.06199951171874,0.0,0.0,50.11877958070132,147.52999877929688
good,0.0,147.52462088665254,147.2049987792969,0.0,0.0,49.13998939079353,147.43499755859375
good,0.0,147.51582939161688,147.28900146484375,0.0,0.0,48.23246287766889,147.35000610351562
good,0.0,147.50511076242947,147.3810028076172,0.0,0.0,47.3460874555893,147.27000427246094
good,0.0,147.49600631107742,147.3510009765625,0.0,0.0,46.20305073727153,147.1699981689453
good,0.0,147.4886876628752,147.29298095703126,0.0,0.0,47.16322687802997,147.23989868164062
good,0.0,147.4837180252824,147.24098205566406,0.0,0.0,46.33636120682381,147.1750030517578
good,-0.1492804778734182,147.4801332554215,147.2369812011719,-0.1492804778734182,0.0,48.65190651161389,147.3300018310547
good,-0.1356624942901874,147.4756771669167,147.24598083496093,-0.1356624942901874,0.0,48.43410822173385,147.31500244140625
good,-0.1086894826002549,147.4759438801487,147.31198120117188,-0.1086894826002549,0.0,51.32817989401352,147.5
good,-0.0982834796271276,147.47312869267412,147.33400268554686,-0.0982834796271276,0.0,48.93035539489091,147.35000610351562
good,-0.0868573170175466,147.4716811039386,147.37440185546876,-0.0868573170175466,0.0,49.38857021721225,147.3769989013672
good,-0.110978202207832,147.45170222053818,147.29840087890625,-0.110978202207832,0.0,42.84031501981846,146.9499969482422
good,-0.1425719801785305,147.43049022016808,147.19039916992188,-0.1425719801785305,0.0,40.4719238362501,146.77499389648438
good,-0.1509413309891272,147.42463850757431,147.0824005126953,-0.1509413309891272,0.0,43.99688122328392,146.9600067138672
good,-0.164155330322842,147.41637675502534,146.9833984375,-0.0366642086443012,-0.1274911216785407,42.46003649577128,146.85499572753906
good,-0.1642605180103089,147.40880121622888,146.9,-0.0294155170654145,-0.1348450009448943,44.54608774478541,146.9600067138672
good,-0.1716452426558987,147.39356744741315,146.87900085449218,-0.0294401933688034,-0.1422050492870952,42.71946150683805,146.84500122070312
good,-0.163907632051945,147.3851869405069,146.92200317382813,-0.0173620662118798,-0.1465455658400652,45.74054315563152,146.99000549316406
good,-0.1599663557126689,147.37587031572144,146.91800231933593,-0.0107366318980829,-0.1492297238145859,44.8618585298051,146.94000244140625
good,-0.1582470475692616,147.36662684076663,146.927001953125,-0.0072138590037405,-0.1510331885655211,44.131358999345935,146.89999389648438
good,-0.1487147136682836,147.36236552773158,146.93099975585938,0.00185477991779,-0.1505694935860736,46.02402941543863,146.97999572753906
good,-0.1563030614310889,147.35434080384175,146.91600036621094,-0.0045868542760122,-0.1517162071550766,42.00184791889944,146.77000427246094
good,-0.1851962666438567,147.31527578768026,146.81000061035155,-0.026784047591024,-0.1584122190528326,36.87810888877768,146.4600067138672
good,-0.182589526915109,147.3070875220975,146.77200012207032,-0.019341846289821,-0.1632476806252879,43.78645277428853,146.75
good,-0.1569276147727407,147.29808446690836,146.79600219726564,0.0050560526820377,-0.1619836674547785,49.34525769025946,147.02000427246094
good,-0.1319870641434022,147.29345611091986,146.8116424560547,0.023997282649101,-0.1559843467925032,50.09698817979825,147.05819702148438
good,-0.1203712480822503,147.28214236359423,146.84564208984375,0.0284904789682023,-0.1488617270504526,47.73602282735384,146.94000244140625
good,-0.1389356958237613,147.27079639617463,146.86884155273438,0.007940824981353,-0.1468765208051144,41.28335135528827,146.5760040283203
good,-0.142803287787359,147.25873288815777,146.85684204101562,0.0032585864142042,-0.1460618742015633,43.84356862124929,146.69000244140625
good,-0.1430095320285715,147.25522501986975,146.79384155273436,0.0024418737383933,-0.1454514057669649,44.18839425660965,146.7050018310547
good,-0.1515128911118495,147.24923979803356,146.69820251464844,-0.0048491882759076,-0.1466637028359418,41.88041385123447,146.5800018310547
good,-0.1488699794416561,147.24533784406896,146.64520263671875,-0.0017650212845713,-0.1471049581570847,44.263119590220526,146.6750030517578
good,-0.1542770255428536,147.23695940833858,146.64200134277343,-0.005737653908615,-0.1485393716342385,42.01742146221185,146.55999755859375
good,-0.1636471023476531,147.18165656588312,146.59872131347657,-0.0120861845707316,-0.1515609177769214,40.36079313543067,146.47360229492188
good,-0.1789829316106193,147.16701877868695,146.52772216796876,-0.0219376110669582,-0.157045320543661,38.0495529402469,146.35000610351562
good,-0.157050145910631,147.1546517947383,146.5617218017578,-3.860293575991269e-06,-0.157046285617055,48.35657857750543,146.75
good,-0.1388738767946051,147.14559637730738,146.57472229003906,0.0145379270579599,-0.1534118038525651,48.14105380639951,146.74000549316406
good,-0.1314275466039873,147.1414884011428,146.5897216796875,0.0175874057988622,-0.1490149524028495,45.82979999192076,146.63499450683594
good,-0.1205134832343901,147.13857479163823,146.6309814453125,0.0228011753347675,-0.1433146585691577,47.00160419025416,146.67990112304688
good,-0.1073903376675389,147.1356216492086,146.70498046875,0.028739456721295,-0.1361297943888339,48.08163318595482,146.72000122070312
good,-0.0978786645051741,147.1331226351653,146.69398193359376,0.0306009039069278,-0.1284795684121019,47.43281235305291,146.69500732421875
good,-0.0913061048755139,147.12683819878598,146.67998046875,0.0297387708292704,-0.1210448757047843,46.75297570485458,146.6699981689453
good,-0.0747453782760771,147.12283875864554,146.71298217773438,0.0370395979429657,-0.1117849762190429,50.70798571877831,146.8000030517578
good,-0.0533402058896115,147.1211353921424,146.7560028076172,0.0467558162635451,-0.1000960221531566,53.43013198632647,146.89500427246094
good,-0.0243873103474356,147.12051412390284,146.8200225830078,0.0605669694445767,-0.0849542797920124,57.30799004060217,147.04010009765625
good,0.0161159345884982,147.1288998550367,146.93302001953126,0.0808561715044085,-0.0647402369159103,62.41581485838457,147.25999450683594
good,0.0580363486562589,147.13396029795553,147.07702026367187,0.0982212684577354,-0.0401849198014764,65.07618025204252,147.38999938964844
neutral,0.0790505525418723,147.13570242499284,147.16701965332032,0.095388377874679,-0.0163378253328067,60.13937260991244,147.25
neutral,0.0676827007873441,147.1308834104809,147.17049865722657,0.0672164208961207,0.0004662798912234,50.24137092367087,146.9123992919922
neutral,0.0793514321561303,147.13122705693456,147.19847717285157,0.0631081218119255,0.0162433103442048,56.37083170271497,147.17999267578125
neutral,0.0859947455891472,147.13163010485994,147.17847900390626,0.0558011481959538,0.0301935973931933,55.81770261367237,147.16000366210938
neutral,0.091814188878402,147.1324087679457,147.1364776611328,0.049296473188167,0.042517715690235,56.279700372837645,147.17999267578125
