macd_line,future_price,sma,vwap,macd_histogram,macd_signal,rsi_14,price
0.0,147.68499755859375,0.0,147.7100067138672,0.0,0.0,50.0,147.7100067138672
0.0,147.77499389648438,0.0,147.70745455666793,0.0,0.0,50.0,147.68499755859375
0.0,148.46949768066406,0.0,147.7092274705112,0.0,0.0,50.0,147.77499389648438
0.0,147.91000366210938,0.0,147.7457681282926,0.0,0.0,50.0,148.46949768066406
0.0,148.0,147.90989990234374,147.75845721334406,0.0,0.0,50.0,147.91000366210938
0.0,148.2050018310547,147.9678985595703,147.77260436919454,0.0,0.0,50.0,148.0
0.0,148.52000427246094,148.0718994140625,147.78257505328344,0.0,0.0,50.0,148.2050018310547
0.0,147.5500030517578,148.2209014892578,147.8026341741341,0.0,0.0,50.0,148.52000427246094
0.0,146.77999877929688,148.03700256347656,147.78170093553638,0.0,0.0,50.0,147.5500030517578
0.0,146.57000732421875,147.81100158691407,147.72419026947546,0.0,0.0,50.0,146.77999877929688
0.0,147.49249267578125,147.5250030517578,147.67157034665968,0.0,0.0,50.0,146.57000732421875
0.0,147.2100067138672,147.38250122070312,147.66668863584445,0.0,0.0,50.0,147.49249267578125
0.0,147.0800018310547,147.12050170898436,147.6390005798966,0.0,0.0,50.0,147.2100067138672
0.0,146.72000122070312,147.02650146484376,147.62446677754525,0.0,0.0,50.0,147.0800018310547
0.0,146.92999267578125,147.014501953125,147.59653073955442,0.0,0.0,41.19835147989679,146.72000122070312
0.0,146.80999755859375,147.0864990234375,147.57654201975657,0.0,0.0,43.471411285088216,146.92999267578125
0.0,147.32000732421875,146.95,147.53466722503092,0.0,0.0,42.46131804142512,146.80999755859375
0.0,147.52999877929688,146.9720001220703,147.52754589873467,0.0,0.0,47.9925617012773,147.32000732421875
0.0,147.43499755859375,147.06199951171874,147.5276105079579,0.0,0.0,50.11877958070132,147.52999877929688
0.0,147.35000610351562,147.2049987792969,147.52462088665254,0.0,0.0,49.13998939079353,147.43499755859375
0.0,147.27000427246094,147.28900146484375,147.51582939161688,0.0,0.0,48.23246287766889,147.35000610351562
0.0,147.1699981689453,147.3810028076172,147.50511076242947,0.0,0.0,47.3460874555893,147.27000427246094
0.0,147.23989868164062,147.3510009765625,147.49600631107742,0.0,0.0,46.20305073727153,147.1699981689453
0.0,147.1750030517578,147.29298095703126,147.4886876628752,0.0,0.0,47.16322687802997,147.23989868164062
0.0,147.3300018310547,147.24098205566406,147.4837180252824,0.0,0.0,46.33636120682381,147.1750030517578
-0.1492804778734182,147.31500244140625,147.2369812011719,147.4801332554215,-0.1492804778734182,0.0,48.65190651161389,147.3300018310547
-0.1356624942901874,147.5,147.24598083496093,147.4756771669167,-0.1356624942901874,0.0,48.43410822173385,147.31500244140625
-0.1086894826002549,147.35000610351562,147.31198120117188,147.4759438801487,-0.1086894826002549,0.0,51.32817989401352,147.5
-0.0982834796271276,147.3769989013672,147.33400268554686,147.47312869267412,-0.0982834796271276,0.0,48.93035539489091,147.35000610351562
-0.0868573170175466,146.9499969482422,147.37440185546876,147.4716811039386,-0.0868573170175466,0.0,49.38857021721225,147.3769989013672
-0.110978202207832,146.77499389648438,147.29840087890625,147.45170222053818,-0.110978202207832,0.0,42.84031501981846,146.9499969482422
-0.1425719801785305,146.9600067138672,147.19039916992188,147.43049022016808,-0.1425719801785305,0.0,40.4719238362501,146.77499389648438
-0.1509413309891272,146.85499572753906,147.0824005126953,147.42463850757431,-0.1509413309891272,0.0,43.99688122328392,146.9600067138672
-0.164155330322842,146.9600067138672,146.9833984375,147.41637675502534,-0.0366642086443012,-0.1274911216785407,42.46003649577128,146.85499572753906
-0.1642605180103089,146.84500122070312,146.9,147.40880121622888,-0.0294155170654145,-0.1348450009448943,44.54608774478541,146.9600067138672
-0.1716452426558987,146.99000549316406,146.87900085449218,147.39356744741315,-0.0294401933688034,-0.1422050492870952,42.71946150683805,146.84500122070312
-0.163907632051945,146.94000244140625,146.92200317382813,147.3851869405069,-0.0173620662118798,-0.1465455658400652,45.74054315563152,146.99000549316406
-0.1599663557126689,146.89999389648438,146.91800231933593,147.37587031572144,-0.0107366318980829,-0.1492297238145859,44.8618585298051,146.94000244140625
-0.1582470475692616,146.97999572753906,146.927001953125,147.36662684076663,-0.0072138590037405,-0.1510331885655211,44.131358999345935,146.89999389648438
-0.1487147136682836,146.77000427246094,146.93099975585938,147.36236552773158,0.00185477991779,-0.1505694935860736,46.02402941543863,146.97999572753906
-0.1563030614310889,146.4600067138672,146.91600036621094,147.35434080384175,-0.0045868542760122,-0.1517162071550766,42.00184791889944,146.77000427246094
-0.1851962666438567,146.75,146.81000061035155,147.31527578768026,-0.026784047591024,-0.1584122190528326,36.87810888877768,146.4600067138672
-0.182589526915109,147.02000427246094,146.77200012207032,147.3070875220975,-0.019341846289821,-0.1632476806252879,43.78645277428853,146.75
