action,close,open,high,low,volume,price,time,macd_line,macd_signal,macd_histogram,rsi_14,vwap,action_quality
hold,127.91500091552734,127.8499984741211,128.8300018310547,127.5500030517578,265885,127.91500091552734,2026-04-07 13:30:00+00:00,0.0,0.0,0.0,50.0,127.91500091552734,neutral
hold,128.17999267578125,128.0,128.4499969482422,127.7750015258789,11635,128.17999267578125,2026-04-07 13:31:00+00:00,0.0,0.0,0.0,50.0,127.92611067024971,neutral
hold,129.52000427246094,128.5,129.6999969482422,128.5,28649,129.52000427246094,2026-04-07 13:32:00+00:00,0.0,0.0,0.0,50.0,128.07525528583702,neutral
hold,129.72000122070312,129.6199951171875,129.8699951171875,129.39999389648438,28009,129.72000122070312,2026-04-07 13:33:00+00:00,0.0,0.0,0.0,50.0,128.2131090311155,good
hold,129.63499450683594,129.8699951171875,129.8699951171875,129.35000610351562,40425,129.63499450683594,2026-04-07 13:34:00+00:00,0.0,0.0,0.0,50.0,128.366550729009,good
hold,129.06500244140625,129.57000732421875,129.83999633789062,128.86000061035156,29639,129.06500244140625,2026-04-07 13:35:00+00:00,0.0,0.0,0.0,50.0,128.4177611680622,good
hold,129.89999389648438,129.32000732421875,130.1999969482422,129.13999938964844,49107,129.89999389648438,2026-04-07 13:36:00+00:00,0.0,0.0,0.0,50.0,128.57831738985738,good
hold,130.1999969482422,129.89999389648438,130.30999755859375,129.89999389648438,19688,130.1999969482422,2026-04-07 13:37:00+00:00,0.0,0.0,0.0,50.0,128.645812378929,good
hold,130.11000061035156,130.13999938964844,130.35000610351562,129.9149932861328,12811,130.11000061035156,2026-04-07 13:38:00+00:00,0.0,0.0,0.0,50.0,128.6844205762104,good
hold,129.7100067138672,130.09249877929688,130.10000610351562,129.52999877929688,10927,129.7100067138672,2026-04-07 13:39:00+00:00,0.0,0.0,0.0,50.0,128.70697923903796,good
hold,129.55499267578125,129.68902587890625,129.875,129.4499969482422,9108,129.55499267578125,2026-04-07 13:40:00+00:00,0.0,0.0,0.0,50.0,128.7222470111945,good
hold,129.32000732421875,129.55499267578125,129.55499267578125,128.94000244140625,12661,129.32000732421875,2026-04-07 13:41:00+00:00,0.0,0.0,0.0,50.0,128.7368421917832,good
hold,129.77499389648438,129.50999450683594,129.8699951171875,129.50999450683594,4148,129.77499389648438,2026-04-07 13:42:00+00:00,0.0,0.0,0.0,50.0,128.745080797446,neutral
hold,129.95750427246094,129.8300018310547,130.14999389648438,129.8000030517578,24928,129.95750427246094,2026-04-07 13:43:00+00:00,0.0,0.0,0.0,50.0,128.80027106147065,neutral
hold,129.50999450683594,129.66000366210938,129.86000061035156,129.49000549316406,8017,129.50999450683594,2026-04-07 13:44:00+00:00,0.0,0.0,0.0,64.34349352803875,128.81051129540305,good
hold,129.25,129.50999450683594,129.85000610351562,128.91000366210938,52089,129.25,2026-04-07 13:45:00+00:00,0.0,0.0,0.0,61.25858824260054,128.84818045409256,good
hold,129.18499755859375,129.23500061035156,129.4550018310547,129.13999938964844,9166,129.18499755859375,2026-04-07 13:46:00+00:00,0.0,0.0,0.0,60.47788856964042,128.8531850020197,good
hold,128.47000122070312,129.0500030517578,129.1300048828125,128.4499969482422,14203,128.47000122070312,2026-04-07 13:47:00+00:00,0.0,0.0,0.0,52.545382649670856,128.8445613253212,neutral
hold,128.9199981689453,128.4600067138672,128.9199981689453,128.35000610351562,10187,128.9199981689453,2026-04-07 13:48:00+00:00,0.0,0.0,0.0,56.419693797824806,128.84575966727684,neutral
hold,129.0749969482422,128.85499572753906,129.15499877929688,128.76010131835938,28017,129.0749969482422,2026-04-07 13:49:00+00:00,0.0,0.0,0.0,57.70070389669463,128.8553555891306,neutral
