action,close,open,high,low,volume,price,time,macd_line,macd_signal,macd_histogram,rsi_14,vwap,action_quality
hold,153.9499969482422,154.82000732421875,155.22500610351562,153.9499969482422,204997,153.9499969482422,2026-04-15 13:30:00+00:00,0.0,0.0,0.0,50.0,153.9499969482422,neutral
hold,153.92999267578125,153.89999389648438,153.93499755859375,153.50010681152344,17551,153.92999267578125,2026-04-15 13:31:00+00:00,0.0,0.0,0.0,50.0,153.94841933358845,good
hold,154.5,153.92999267578125,154.67999267578125,153.60000610351562,41157,154.5,2026-04-15 13:32:00+00:00,0.0,0.0,0.0,50.0,154.03450570088333,good
hold,154.4499969482422,154.5,154.77999877929688,154.4499969482422,7777,154.4499969482422,2026-04-15 13:33:00+00:00,0.0,0.0,0.0,50.0,154.04640805695377,good
hold,154.3000030517578,154.49000549316406,154.7299041748047,154.00999450683594,13628,154.3000030517578,2026-04-15 13:34:00+00:00,0.0,0.0,0.0,50.0,154.05852966822377,good
hold,154.86000061035156,154.52000427246094,154.92999267578125,154.30999755859375,11815,154.86000061035156,2026-04-15 13:35:00+00:00,0.0,0.0,0.0,50.0,154.09042115321571,neutral
hold,154.5800018310547,154.60000610351562,155.0,154.5749969482422,10125,154.5800018310547,2026-04-15 13:36:00+00:00,0.0,0.0,0.0,50.0,154.1065651179222,good
hold,154.38999938964844,154.5,154.6699981689453,154.3000030517578,16199,154.38999938964844,2026-04-15 13:37:00+00:00,0.0,0.0,0.0,50.0,154.12076887962817,neutral
hold,154.3300018310547,154.3000030517578,154.52999877929688,154.0,14208,154.3300018310547,2026-04-15 13:38:00+00:00,0.0,0.0,0.0,50.0,154.1295782442994,neutral
hold,154.33999633789062,153.92999267578125,154.69000244140625,153.92999267578125,21722,154.33999633789062,2026-04-15 13:39:00+00:00,0.0,0.0,0.0,50.0,154.14230365928466,neutral
hold,153.92999267578125,154.3300018310547,154.3300018310547,153.86000061035156,11579,153.92999267578125,2026-04-15 13:40:00+00:00,0.0,0.0,0.0,50.0,154.13567305690256,good
