action,close,open,high,low,volume,price,time,sma_5,sma_10,sma_20,sma_50,ema_5,ema_9,ema_12,ema_21,ema_26,rsi_7,rsi_14,rsi_21,roc_5,roc_10,roc_14,bb_20,20,2.0,atr_7,atr_14,atr_21,vwap,vwma_5,vwma_10,vwma_20,volume_avg_5,volume_avg_10,volume_avg_20,mfi_14,macd_12_26_9,12,26,stoch_14_3_3,14,cci_14,adx_14,typical_price
hold,242.94000244140625,242.60000610351562,242.94000244140625,242.2550048828125,208844,242.94000244140625,2025-10-03 13:40:00+00:00,242.8162628173828,243.43963317871095,0.0,0.0,242.97024051367993,243.39734022352434,0.0,0.0,0.0,30.12294834117452,50.0,50.0,-0.3016315178604695,-0.759804161423276,0.0,0.0,0.0,0.0,0.6436203092810101,0.0,0.0,243.78717549755848,242.8628698649862,243.32868812451866,243.78717549755848,227053.6,181641.1,0.0,20.629966560679648,0.0,0.0,0.0,98.2792591619598,44.07423206427097,0.0,0.0,242.711669921875
hold,242.02499389648438,242.9149932861328,242.9499969482422,241.94000244140625,207809,242.02499389648438,2025-10-03 13:41:00+00:00,242.60924072265624,243.10513305664062,0.0,0.0,242.65515830794808,243.12287095811635,243.43511072794595,0.0,0.0,21.60365273084173,50.0,50.0,-0.4258660533020298,-1.3632478653739097,0.0,0.0,0.0,0.0,0.6959594803602854,0.0,0.0,243.65852608908412,242.60023795116044,243.0015251457601,243.65852608908412,190933.4,185899.5,0.0,18.52031850772981,0.0,0.0,0.0,8.415041319816893,43.70455616149119,0.0,0.0,242.30499776204428
hold,241.97000122070312,241.9949951171875,242.1199951171875,241.8000030517578,241571,241.97000122070312,2025-10-03 13:42:00+00:00,242.44100036621094,242.88113250732422,0.0,0.0,242.42677261219978,242.89229701063374,243.2097092652932,0.0,0.0,21.183572820491946,50.0,50.0,-0.34644273897708616,-0.9172455802716566,0.0,0.0,0.0,0.0,0.6422498496559143,0.0,0.0,243.52643648515036,242.4148667781551,242.8030325335347,243.52643648515036,204175.8,198133.1,0.0,16.555099679970752,0.0,0.0,0.0,14.782527930366479,40.49227613738106,0.0,0.0,241.9633331298828
hold,242.15750122070312,241.97000122070312,242.15750122070312,241.65499877929688,149801,242.15750122070312,2025-10-03 13:43:00+00:00,242.3385009765625,242.73988189697266,0.0,0.0,242.33701548170092,242.74533785264765,243.04783110458703,0.0,0.0,26.842169652468314,50.0,50.0,-0.21119089797222906,-0.5799179131424923,0.0,0.0,0.0,0.0,0.6222859341916765,0.654069083077567,0.0,243.46310182638356,242.33408077152708,242.6954066120938,243.46310182638356,200782.0,197944.7,0.0,21.707397644799585,0.0,0.0,0.0,38.80333219432301,20.666967148168794,-102.25179655755966,0.0,241.99000040690103
hold,242.39999389648438,242.16990661621094,242.4600067138672,242.0399932861328,149697,242.39999389648438,2025-10-03 13:44:00+00:00,242.29849853515626,242.6308807373047,0.0,0.0,242.35800828662875,242.67626906141498,242.94816384180203,0.0,0.0,33.99254945240337,27.98143175919523,50.0,-0.08244526051079581,-0.44766174055973285,-0.9803958845400855,0.0,0.0,0.0,0.5933898618406335,0.6373508219816246,0.0,243.41612262411746,242.28999304399252,242.5951650752342,243.41612262411746,191544.4,194005.3,0.0,26.262952588381822,0.0,0.0,0.0,92.54506510984325,48.710308411510916,-70.26619802589843,46.915155488726526,242.29999796549478
hold,242.25999450683594,242.3699951171875,242.61000061035156,242.17999267578125,0,242.25999450683594,2025-10-03 13:45:00+00:00,242.1624969482422,242.4893798828125,0.0,0.0,242.3253370266978,242.5930141504992,242.8422916364226,0.0,0.0,31.892946186613003,27.228187667696275,50.0,-0.2799077664183036,-0.5806949942343163,-1.2674738852508196,0.0,0.0,0.0,0.5700495865163019,0.6225406157379594,0.0,243.41612262411746,242.10872111105624,242.56312376752584,243.41612262411746,149775.6,188414.6,0.0,21.138805685482026,0.0,0.0,0.0,63.3502164986339,64.89953793426672,-60.1717861180649,62.794299337010806,242.3499959309896
hold,242.59500122070312,242.26499938964844,242.72000122070312,242.25999450683594,1081212,242.59500122070312,2025-10-03 13:46:00+00:00,242.27649841308593,242.4428695678711,0.0,0.0,242.41522509136627,242.59341156453996,242.80424695708115,0.0,0.0,41.90978417841656,31.948955560757128,50.0,0.23551589240512313,-0.1913531431327914,-0.6613183116023216,0.0,0.0,0.0,0.554329176137857,0.6109310513186186,0.0,243.21745290182827,242.44354051573674,242.50159130705407,243.21745290182827,324456.2,257694.8,0.0,47.238616798729744,0.0,0.0,0.0,81.61786155054415,79.17104771967377,-32.02779625868282,50.846423969389065,242.5249989827474
hold,242.78500366210938,242.60000610351562,242.8800048828125,242.59500122070312,83416,242.78500366210938,2025-10-03 13:47:00+00:00,242.4394989013672,242.44024963378905,0.0,0.0,242.53848461494732,242.63172998405386,242.80128645016242,0.0,0.0,47.06161620102131,34.54253177485941,50.0,0.33681962114918473,-0.010790004948822887,-0.3222907741117928,0.0,0.0,0.0,0.5158541027052167,0.5876505235179584,0.0,243.20952851019615,242.54112559438323,242.48925649389767,243.20952851019615,292825.2,248500.5,0.0,50.76179121103491,0.0,0.0,0.0,86.42863370825704,77.13223725247836,13.687209347101742,31.476402049236064,242.75333658854166
hold,242.91000366210938,242.75999450683594,242.91000366210938,242.61000061035156,91477,242.91000366210938,2025-10-03 13:48:00+00:00,242.58999938964843,242.46425018310546,0.0,0.0,242.6623242973347,242.68738471966498,242.81801217507734,0.0,0.0,50.43547770007469,36.26355824000231,50.0,0.31074917671884006,0.09890200476985712,-0.23820354756654313,0.0,0.0,0.0,0.4850182382841589,0.5671042755350909,0.0,243.20362805552594,242.60600754347922,242.4927201441425,243.20362805552594,281160.4,240971.2,0.0,55.188236430687176,0.0,0.0,0.0,100.0,89.34883175293373,39.07662895211211,27.359791469084012,242.81000264485678
hold,243.0,242.89849853515625,243.13999938964844,242.80999755859375,112728,243.0,2025-10-03 13:49:00+00:00,242.71000061035156,242.5042495727539,243.06494140625,0.0,242.7748828648898,242.749907775732,242.8460103019885,0.0,0.0,52.95397297301617,37.53691840436901,50.0,0.24752727665985605,0.1648779416409827,-0.2770095591686269,244.82086582965042,243.06494140625,241.30901698284958,0.4628730372513773,0.5501683866436335,0.0,243.1988019897474,242.6609840136205,242.50826627713283,243.1988019897474,273766.6,232655.5,237818.8,57.69623849196568,0.0,0.0,0.0,74.31195229162584,86.91352866662764,96.02991832514273,16.357533337290825,242.98333231608072
hold,243.03500366210938,243.0,243.22000122070312,242.8800048828125,119166,243.03500366210938,2025-10-03 13:50:00+00:00,242.86500244140626,242.5137496948242,242.97669143676757,0.0,242.86158979729635,242.8069269530075,242.87508620354555,243.06351579938615,0.0,54.01427284366412,38.055289765251,50.0,0.3199080214837406,0.03910480766790886,-0.010326955167266227,244.54200604514565,242.97669143676757,241.41137682838948,0.4453192230569841,0.5351560974469901,0.5581904820033482,243.19479849813328,242.6909372766481,242.49601870148456,242.86916511974124,297599.8,223687.7,202664.4,66.91776288512065,0.0,0.0,0.0,69.67256172299072,81.32817133820554,112.76658676562828,10.304694738666441,243.04500325520834
hold,243.2550048828125,243.02499389648438,243.2899932861328,243.0,140190,243.2550048828125,2025-10-03 13:51:00+00:00,242.99700317382812,242.63675079345703,242.87094192504884,0.0,242.99272815913508,242.8965425389685,242.93353523112506,243.08092389787947,0.0,60.536033876980795,41.349746280492,38.268764207409056,0.2720598770742726,0.5082165137267636,0.18277652529791127,244.00027321381862,242.87094192504884,241.74161063627906,0.42312980349638823,0.517644468067406,0.5454191869618941,243.1964812700733,243.02514484411174,242.59019167051943,242.78001760096745,109395.4,216925.8,201412.65,72.48054571801812,0.0,0.0,0.0,92.71068442635979,78.89839948032545,131.5338072233026,22.10694110408859,243.1816660563151
hold,243.0500030517578,243.25,243.281005859375,243.0500030517578,79064,243.0500030517578,2025-10-03 13:52:00+00:00,243.0500030517578,242.7447509765625,242.81294174194335,0.0,243.01181979000933,242.92723464152638,242.95145335737627,243.0781129118684,0.0,52.44949669724114,39.254723226669576,37.05741880436814,0.10914981800821788,0.446337077160903,0.1565932689165568,243.76673771096523,242.81294174194335,241.85914577292147,0.39568308979935957,0.4971700637495333,0.5304469784216699,243.19420813610427,243.06568298033332,242.6829657885833,242.7426165088647,108525.0,200675.1,199404.1,74.70115698833831,0.0,0.0,0.0,41.46414083144144,67.94912899359731,103.66529103125939,24.97012629244034,243.12700398763022
